9749 東証1部 富士ソフト(株)（情報・通信）,,,,,
"2018-07-24","4500","4510","4455","4480","85300","4480"
"2018-07-25","4500","4525","4485","4515","70100","4515"
"2018-07-26","4515","4620","4510","4620","85400","4620"
"2018-07-27","4620","4645","4575","4615","59400","4615"
"2018-07-30","4565","4580","4510","4510","185900","4510"
"2018-07-31","4510","4575","4465","4540","158200","4540"
"2018-08-01","4560","4560","4525","4535","61100","4535"
"2018-08-02","4550","4565","4425","4425","109000","4425"
"2018-08-03","4425","4445","4350","4360","73400","4360"
"2018-08-06","4385","4505","4380","4485","140100","4485"
"2018-08-07","4495","4515","4455","4505","61000","4505"
"2018-08-08","4485","4610","4465","4495","189700","4495"
"2018-08-09","4700","4980","4695","4960","428700","4960"
"2018-08-10","4970","5100","4885","4900","340500","4900"
"2018-08-13","4850","4850","4650","4685","156100","4685"
"2018-08-14","4710","4810","4685","4775","180600","4775"
"2018-08-15","4800","4825","4690","4725","241500","4725"
"2018-08-16","4700","4780","4670","4715","268500","4715"
"2018-08-17","4735","4800","4685","4700","205800","4700"
"2018-08-20","4700","4750","4665","4690","346500","4690"
"2018-08-21","4685","4740","4670","4705","165400","4705"
"2018-08-22","4695","4765","4660","4745","207200","4745"
"2018-08-23","4815","4840","4760","4825","148400","4825"
"2018-08-24","4895","5130","4895","5120","280900","5120"
"2018-08-27","5140","5260","5130","5230","153000","5230"
"2018-08-28","5230","5290","5200","5260","160500","5260"
"2018-08-29","5260","5300","5200","5290","135300","5290"
"2018-08-30","5300","5370","5270","5320","113600","5320"
"2018-08-31","5270","5500","5240","5470","202300","5470"
"2018-09-03","5390","5430","5340","5370","92700","5370"
"2018-09-04","5350","5360","5310","5330","73900","5330"
"2018-09-05","5330","5430","5300","5320","144600","5320"
"2018-09-06","5280","5300","5230","5280","94500","5280"
"2018-09-07","5250","5290","5210","5250","147500","5250"
"2018-09-10","5280","5280","5210","5250","104700","5250"
"2018-09-11","5260","5350","5230","5290","149700","5290"
"2018-09-12","5350","5470","5330","5420","200100","5420"
"2018-09-13","5450","5550","5450","5540","176300","5540"
"2018-09-14","5580","5690","5560","5670","165200","5670"
"2018-09-18","5660","5670","5540","5600","168600","5600"
"2018-09-19","5630","5690","5570","5670","163200","5670"
"2018-09-20","5670","5680","5550","5650","128600","5650"
"2018-09-21","5690","5720","5650","5670","154900","5670"
"2018-09-25","5680","5710","5600","5690","205800","5690"
"2018-09-26","5730","5900","5730","5880","110300","5880"
"2018-09-27","5800","5800","5690","5740","100500","5740"
"2018-09-28","5820","5840","5710","5750","114800","5750"
"2018-10-01","5760","5800","5730","5760","84300","5760"
"2018-10-02","5800","5800","5690","5720","75800","5720"
"2018-10-03","5680","5710","5550","5590","91100","5590"
"2018-10-04","5600","5630","5520","5570","82400","5570"
"2018-10-05","5510","5590","5480","5520","104100","5520"
"2018-10-09","5440","5520","5430","5460","114400","5460"
"2018-10-10","5470","5570","5470","5500","138700","5500"
"2018-10-11","5230","5280","5190","5260","140600","5260"
"2018-10-12","5180","5460","5180","5410","139500","5410"
"2018-10-15","5380","5400","5170","5170","144600","5170"
"2018-10-16","5140","5190","5080","5160","140600","5160"
"2018-10-17","5240","5320","5230","5290","79100","5290"
"2018-10-18","5350","5440","5310","5370","102500","5370"
"2018-10-19","5260","5350","5240","5340","107300","5340"
"2018-10-22","5270","5390","5250","5360","55200","5360"
"2018-10-23","5290","5320","5220","5230","94800","5230"
"2018-10-24","5300","5350","5250","5320","122400","5320"
"2018-10-25","5120","5180","5040","5040","115000","5040"
"2018-10-26","5060","5160","5040","5090","182300","5090"
"2018-10-29","5120","5170","4850","4860","115800","4860"
"2018-10-30","4830","4925","4770","4920","216300","4920"
"2018-10-31","4985","5180","4970","5180","121900","5180"
"2018-11-01","5180","5210","5120","5140","141700","5140"
"2018-11-02","5130","5200","5060","5140","97300","5140"
"2018-11-05","5130","5170","5070","5070","69900","5070"
"2018-11-06","5070","5070","4950","5010","76800","5010"
"2018-11-07","5060","5150","5000","5060","103900","5060"
"2018-11-08","5220","5270","5140","5230","106100","5230"
"2018-11-09","5430","5720","5370","5710","326100","5710"
"2018-11-12","5650","5690","5540","5540","221700","5540"
"2018-11-13","5390","5430","5260","5410","178000","5410"
"2018-11-14","5350","5350","5190","5200","115600","5200"
"2018-11-15","5140","5280","5100","5220","108900","5220"
"2018-11-16","5220","5270","5140","5160","120800","5160"
"2018-11-19","5140","5140","5050","5070","112000","5070"
"2018-11-20","4980","4990","4800","4965","155400","4965"
"2018-11-21","4870","4935","4795","4920","193700","4920"
"2018-11-22","4955","5060","4925","4995","132300","4995"
"2018-11-26","5020","5070","4955","5030","154300","5030"
"2018-11-27","5080","5080","4980","5010","69600","5010"
"2018-11-28","5000","5060","4995","5040","85700","5040"
"2018-11-29","5070","5110","5040","5050","105500","5050"
"2018-11-30","5050","5150","5000","5140","113200","5140"
"2018-12-03","5240","5270","5160","5190","119100","5190"
"2018-12-04","5190","5220","5050","5060","111700","5060"
"2018-12-05","4970","5040","4950","4975","86500","4975"
"2018-12-06","4940","4960","4790","4820","69500","4820"
"2018-12-07","4850","4890","4835","4875","80500","4875"
"2018-12-10","4780","4780","4625","4655","89900","4655"
"2018-12-11","4645","4655","4485","4525","119200","4525"
"2018-12-12","4560","4720","4560","4715","161500","4715"
"2018-12-13","4745","4840","4685","4820","189300","4820"
"2018-12-14","4800","4800","4540","4590","153200","4590"
"2018-12-17","4520","4530","4385","4480","191600","4480"
"2018-12-18","4365","4390","4215","4240","136700","4240"
"2018-12-19","4225","4385","4190","4310","171200","4310"
"2018-12-20","4240","4265","4080","4155","194100","4155"
"2018-12-21","4145","4190","4095","4100","161500","4100"
"2018-12-25","3890","4035","3865","4015","207600","4015"
"2018-12-26","4005","4140","3940","4010","156000","4010"
"2018-12-27","4220","4240","4105","4175","179600","4175"
"2018-12-28","4185","4185","4095","4170","83800","4170"
