9749 東証1部 富士ソフト(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","3650","3675","3615","3660","67400","3660"
"2018-01-05","3675","3680","3655","3655","50700","3655"
"2018-01-09","3660","3660","3615","3645","67100","3645"
"2018-01-10","3670","3700","3665","3690","47800","3690"
"2018-01-11","3650","3675","3625","3640","49000","3640"
"2018-01-12","3625","3665","3565","3565","67800","3565"
"2018-01-15","3575","3625","3555","3555","49400","3555"
"2018-01-16","3570","3590","3560","3585","40100","3585"
"2018-01-17","3585","3595","3535","3545","38300","3545"
"2018-01-18","3540","3585","3495","3495","57500","3495"
"2018-01-19","3515","3595","3505","3595","54200","3595"
"2018-01-22","3580","3595","3545","3595","47900","3595"
"2018-01-23","3600","3680","3600","3670","69000","3670"
"2018-01-24","3665","3705","3650","3690","66400","3690"
"2018-01-25","3760","3795","3695","3765","176300","3765"
"2018-01-26","3835","3835","3765","3800","88800","3800"
"2018-01-29","3810","3830","3770","3790","82000","3790"
"2018-01-30","3790","3805","3760","3795","73900","3795"
"2018-01-31","3770","3820","3740","3755","93800","3755"
"2018-02-01","3775","3880","3750","3860","89500","3860"
"2018-02-02","3860","3935","3860","3900","92500","3900"
"2018-02-05","3850","3875","3820","3845","94500","3845"
"2018-02-06","3660","3700","3590","3645","147800","3645"
"2018-02-07","3715","3775","3650","3650","127000","3650"
"2018-02-08","3680","3720","3665","3680","101000","3680"
"2018-02-09","3545","3620","3530","3610","85700","3610"
"2018-02-13","3655","3685","3555","3570","115000","3570"
"2018-02-14","3545","3560","3450","3470","115100","3470"
"2018-02-15","3465","3595","3465","3550","119700","3550"
"2018-02-16","3565","3810","3550","3770","213100","3770"
"2018-02-19","3840","3920","3815","3900","103400","3900"
"2018-02-20","3885","3930","3860","3915","113600","3915"
"2018-02-21","3960","4075","3960","4010","134200","4010"
"2018-02-22","4025","4060","3985","4010","100300","4010"
"2018-02-23","4060","4085","4030","4065","86200","4065"
"2018-02-26","4100","4130","3995","4045","106900","4045"
"2018-02-27","4100","4130","4045","4105","66100","4105"
"2018-02-28","4090","4125","4040","4040","96000","4040"
"2018-03-01","4045","4070","4010","4040","99200","4040"
"2018-03-02","3945","4045","3945","4015","120800","4015"
"2018-03-05","4015","4015","3945","3955","44400","3955"
"2018-03-06","3980","4025","3950","3980","94600","3980"
"2018-03-07","3970","3980","3905","3950","89900","3950"
"2018-03-08","4020","4020","3965","3985","52700","3985"
"2018-03-09","3980","4005","3925","3940","94100","3940"
"2018-03-12","3980","3995","3935","3960","69600","3960"
"2018-03-13","3920","3995","3920","3985","63900","3985"
"2018-03-14","3955","3985","3925","3960","77900","3960"
"2018-03-15","3965","4005","3950","3970","61200","3970"
"2018-03-16","4250","4415","4185","4255","511900","4255"
"2018-03-19","4185","4200","4020","4065","369000","4065"
"2018-03-20","4040","4110","4025","4100","192300","4100"
"2018-03-22","4150","4230","4085","4105","232600","4105"
"2018-03-23","4035","4055","3950","3955","149200","3955"
"2018-03-26","3970","4020","3930","3970","131000","3970"
"2018-03-27","4015","4115","4010","4105","147000","4105"
"2018-03-28","4085","4170","4085","4140","110900","4140"
"2018-03-29","4195","4200","4140","4200","122600","4200"
"2018-03-30","4245","4270","4225","4260","70400","4260"
"2018-04-02","4310","4365","4285","4330","120800","4330"
"2018-04-03","4265","4345","4265","4275","149400","4275"
"2018-04-04","4310","4340","4285","4305","123900","4305"
"2018-04-05","4350","4370","4275","4290","123600","4290"
"2018-04-06","4310","4355","4275","4295","159300","4295"
"2018-04-09","4340","4370","4290","4325","147300","4325"
"2018-04-10","4325","4325","4230","4235","107000","4235"
"2018-04-11","4245","4245","4155","4205","113100","4205"
"2018-04-12","4225","4275","4195","4205","81200","4205"
"2018-04-13","4220","4245","4180","4210","87300","4210"
"2018-04-16","4230","4245","4195","4200","67600","4200"
"2018-04-17","4200","4230","4140","4185","86600","4185"
"2018-04-18","4195","4235","4185","4200","92400","4200"
"2018-04-19","4210","4215","4150","4175","76500","4175"
"2018-04-20","4175","4265","4175","4215","95300","4215"
"2018-04-23","4225","4225","4160","4180","53200","4180"
"2018-04-24","4170","4265","4170","4245","111800","4245"
"2018-04-25","4205","4240","4175","4180","82200","4180"
"2018-04-26","4205","4240","4180","4190","81700","4190"
"2018-04-27","4210","4280","4210","4235","75300","4235"
"2018-05-01","4215","4270","4185","4240","89600","4240"
"2018-05-02","4310","4360","4225","4230","93700","4230"
"2018-05-07","4255","4275","4230","4275","38200","4275"
"2018-05-08","4255","4310","4235","4295","132100","4295"
"2018-05-09","4295","4340","4260","4280","89500","4280"
"2018-05-10","4310","4340","4290","4325","91700","4325"
"2018-05-11","4400","4600","4400","4520","293400","4520"
"2018-05-14","4530","4615","4485","4535","207500","4535"
"2018-05-15","4500","4530","4435","4435","110300","4435"
"2018-05-16","4440","4445","4385","4390","94000","4390"
"2018-05-17","4445","4460","4410","4430","78800","4430"
"2018-05-18","4450","4505","4420","4495","75600","4495"
"2018-05-21","4500","4650","4485","4645","138400","4645"
"2018-05-22","4650","4650","4535","4570","117500","4570"
"2018-05-23","4565","4600","4495","4535","88500","4535"
"2018-05-24","4550","4610","4520","4595","132500","4595"
"2018-05-25","4585","4615","4525","4575","101300","4575"
"2018-05-28","4555","4560","4490","4510","53500","4510"
"2018-05-29","4475","4535","4425","4520","76900","4520"
"2018-05-30","4450","4535","4450","4490","75300","4490"
"2018-05-31","4505","4520","4435","4450","141200","4450"
"2018-06-01","4440","4490","4430","4460","58900","4460"
"2018-06-04","4520","4525","4450","4490","66600","4490"
"2018-06-05","4510","4540","4490","4535","92400","4535"
"2018-06-06","4535","4560","4500","4535","86300","4535"
"2018-06-07","4560","4650","4525","4645","157200","4645"
"2018-06-08","4660","4740","4635","4735","181100","4735"
"2018-06-11","4740","4760","4665","4695","135500","4695"
"2018-06-12","4705","4750","4640","4735","95300","4735"
"2018-06-13","4730","4785","4685","4725","113200","4725"
"2018-06-14","4705","4755","4665","4725","84700","4725"
"2018-06-15","4750","4765","4695","4755","118700","4755"
"2018-06-18","4740","4795","4705","4735","84300","4735"
"2018-06-19","4700","4705","4600","4635","81100","4635"
"2018-06-20","4650","4670","4600","4655","91700","4655"
"2018-06-21","4655","4680","4630","4630","55800","4630"
"2018-06-22","4580","4660","4555","4650","71100","4650"
"2018-06-25","4650","4650","4610","4635","88600","4635"
"2018-06-26","4595","4685","4580","4660","135200","4660"
"2018-06-27","4665","4755","4635","4710","144300","4710"
"2018-06-28","4670","4680","4615","4655","88900","4655"
"2018-06-29","4680","4705","4635","4675","88300","4675"
"2018-07-02","4670","4685","4540","4555","108000","4555"
"2018-07-03","4550","4605","4480","4530","95900","4530"
"2018-07-04","4485","4590","4480","4560","67100","4560"
"2018-07-05","4540","4550","4455","4480","66900","4480"
"2018-07-06","4480","4505","4450","4495","77900","4495"
"2018-07-09","4495","4575","4490","4565","84500","4565"
"2018-07-10","4565","4585","4525","4550","136000","4550"
"2018-07-11","4480","4545","4460","4495","87200","4495"
"2018-07-12","4540","4590","4540","4555","110800","4555"
"2018-07-13","4570","4615","4540","4560","88900","4560"
"2018-07-17","4555","4625","4550","4585","105900","4585"
"2018-07-18","4640","4655","4550","4565","89400","4565"
"2018-07-19","4585","4610","4520","4545","124500","4545"
"2018-07-20","4500","4555","4475","4540","92500","4540"
"2018-07-23","4540","4540","4485","4500","89700","4500"
